rank,name,country,director,score
108,请以你的名字呼唤我,美国,"('艾德里安·布洛迪 Adrien Brody / 马西...<br>\n                            2011', '2004')",9.0
109,侧耳倾听,日本,"('Alexandre Rodrigues / Lea...<br>\n                            2002', '1999')",8.8
110,驯龙高手,香港,"('汤姆·汉克斯 Tom Hanks...<br>\n                            2004', '2')",8.8
111,红辣椒,韩国,"('桥本爱 Ai Hashimoto / 三浦贵大 Takahir...<br>\n                            2015', '7')",8.7
112,倩女幽魂,日本,"('宋康昊 Kang-ho Song / 金相庆 Sang-kyun...<br>\n                            2003', '2010')",8.9
126,神偷奶爸,日本,"('...<br>\n                            2010', '2012')",8.5
127,萤火之森,美国,"('佐仓绫音 Ayane Sakura / 内山昂辉 K...<br>\n                            2011', '6')",8.7
128,超能陆战队,香港,"('周星驰 Stephen Chow / 巩俐 Li Gong / 陈...<br>\n                            1993', '2001')",8.8
129,唐伯虎点秋香,美国,"('吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...<br>\n                            2010', '2004')",8.6
130,怪兽电力公司,美国,"('柳乐优弥 Yûya Yagira / 北浦爱...<br>\n                            2004', '1954')",8.5
131,岁月神偷,日本,"('马特·达蒙 Matt Damon / ...<br>\n                            2007', '2003')",8.6
132,电锯惊魂,日本,"('赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...<br>\n                            1993', '1986')",8.7
133,无人知晓,美国,"('张国荣 Leslie Cheung / 林青霞 Brigitte...<br>\n                            1994', '1988')",8.7
134,七武士,香港,"('戴夫...<br>\n                            2008', '2016')",9.1
135,真爱至上,日本,"('娜塔莉·波特曼 Natalie...<br>\n                            2010', '2000')",9.2
136,疯狂原始人,美国,"('凯拉·奈特莉 Keira Knightley / 马修·...<br>\n                            2005', '2013')",8.8
137,喜宴,美国,"('霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...<br>\n                            2014', '1991')",8.6
151,荒蛮故事,美国,"('达里奥·葛兰帝内提 Darío...<br>\n                            2014', '1988')",8.8
152,雨人,美国,"('阿尔·帕西诺 A...<br>\n                            1990', '2013')",8.7
153,达拉斯买家俱乐部,美国,"('凯文·科斯特纳 Kevin Cos...<br>\n                            1993', '3')",8.8
154,完美的世界,美国,"('梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...<br>\n                            2000', '2004')",8.7
155,花样年华,美国,"('卡西·阿弗莱克 Casey Affle...<br>\n                            2016', '2012')",9.1
156,卢旺达饭店,香港,"('弗兰西斯·麦克多蒙德 France...<br>\n                            2017', '2004')",8.8
157,海边的曼彻斯特,美国,"('山口胜平 Kappei Yamaguchi / 爱河...<br>\n                            2010', '2009')",8.6
158,被解救的姜戈,美国,"('路易·德·菲耐斯 Louis de Funès...<br>\n                            1966', '2015')",8.9
159,三块广告牌,美国,"('神木隆之介 Ryûnosuke Kamiki / 上...<br>\n                            2016', '22')",8.6
160,恋恋笔记本,日本,"('约翰·C·赖利 John C. Reilly / 萨拉...<br>\n                            2012', '2002')",8.6
161,你看起来好像很好吃,美国,"('Sean Penn / Dakota Fanning / Mi...<br>\n                            2001', '1952')",8.7
162,海洋,日本,"('布拉德·皮特 Brad Pitt / 安东...<br>\n                            1994', '2014')",8.5
163,虎口脱险,中国大陆,"('岩男润子 Junko Iwao / 松本梨香 Rica Matsu...<br>\n                            1997', '250')",8.8
176,人工智能,美国,"('海利·乔·奥斯蒙 Haley...<br>\n                            2001', '2014')",8.6
177,模仿游戏,日本,"('仲里依纱 Riisa Naka / 石田卓也 Takuya...<br>\n                            2006', '2015')",8.6
178,穿越时空的少女,瑞典,"('费雯·丽 Vivien Leigh / 罗伯特·...<br>\n                            1940', '2015')",8.6
179,一个叫欧维的男人决定去死,美国,"('山本圭 Kei Yamamoto / 井川比佐志 Hisa...<br>\n                            1987', '1996')",8.8
180,魂断蓝桥,日本,"('阿努克·斯特芬 Anuk Steffen /...<br>\n                            2015', '1989')",8.8
181,房间,英国,"('梅利莎·乔治 Melissa ...<br>\n                            2009', '1950')",8.8
182,忠犬八公物语,日本,"('马可·贾利尼 Marco Giallini ...<br>\n                            2016', '1979')",9.1
183,猜火车,日本,"('张国荣 Leslie Cheung / 张曼玉 Maggie C...<br>\n                            1990', '2015')",8.5
184,海蒂和爷爷,意大利,"('基努·里维斯 Keanu Reeves...<br>\n                            2003', '2006')",9.1
185,魔女宅急便,中国大陆,"('凯特·温丝莱特 Kate Winslet ...<br>\n                            2008', '2008')",8.6
186,恐怖游轮,香港,"('多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...<br>\n                            2004', '2004')",8.4
187,罗生门,日本,"('马特·达蒙 Matt Damon / 弗兰卡·波坦...<br>\n                            2002', '1991')",8.7
188,完美陌生人,德国,"('尼古拉斯·凯奇 Nicolas Cage /...<br>\n                            2005', '250')",8.5
201,天书奇谭,中国大陆,"('丁建华 Jianhua Din...<br>\n                            1983(中国大陆) / 2019(中国大陆重映)', '2007')",9.1
202,地球上的星星,印度,"('Janet Leigh / Anthony Perkins / Vera Miles<br>\n                            1960', '1993')",8.9
203,惊魂记,美国,"('郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin<br>\n                            2006', '2010')",8.9
204,青蛇,香港,"('阿诺·施瓦辛格 Arnold Schwarz...<br>\n                            1991', '2011')",8.5
205,疯狂的石头,泰国,"('杰克·吉伦哈尔 Jake Gyllenhaal / ...<br>\n                            2011', '2008')",8.4
206,初恋这件小事,日本,"('杰里米·西奥伯德 Jeremy...<br>\n                            1998', '2015')",8.3
207,一次别离,英国,"('张曼玉 Maggie Cheung / 林青霞 Brigitte ...<br>\n                            1992', '2013')",8.6
208,源代码,印度,"('伊桑·霍克 Ethan Hawke ...<br>\n                            2013', '2018')",8.7
209,步履不停,美国,"('桑德拉·布洛克 Sandra Bullock / ...<br>\n                            2004', '2009')",8.4
210,追随,美国,"('艾伦·伯斯汀 Ellen Bur...<br>\n                            2000', '1931')",8.8
211,小萝莉的猴神大叔,美国,"('笠智众 Chishû Ryû / 原节...<br>\n                            1953', '2013')",8.9
212,新龙门客栈,日本,"('汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...<br>\n                            1999', '2004')",8.5
213,再次出发之纽约遇见你,美国,"('莱昂纳多·迪卡普里奥 Leonardo ...<br>\n                            2006', '250')",8.5
226,这个男人来自地球,美国,"('凯尔·杜拉 Keir Dullea / ...<br>\n                            1968', '2007')",8.7
227,聚焦,美国,"('Henry Thomas / Dee Wallace / Robert MacNa...<br>\n                            1982', '2015')",8.5
228,奇迹男孩,美国,"('雅各布·特伦布莱 Jacob Tr...<br>\n                            2017', '1991')",8.5
229,末路狂花,美国,"('Malcolm McDowell / Patrick Magee / Michael...<br>\n                            1971', '1997')",8.8
230,发条橙,美国,"('肖恩·康纳利 Sean Connery / 尼古拉...<br>\n                            1996', '2001')",8.6
231,变脸,美国,"('Clint Eastwood / Eli Wallach / Lee Van Cleef<br>\n                            1966', '2015')",8.7
232,勇闯夺命岛,日本,"('水桥研二 Kenji Mizuhashi / 近藤好美 ...<br>\n                            2007', '2011')",8.5
233,黑鹰坠落,韩国,"('柯林·菲尔斯 Colin Firth / 杰弗里·...<br>\n                            2010', '1995')",8.4
234,黄金三镖客,美国,"('亨弗莱·鲍嘉 Humphrey Bogart...<br>\n                            1942', '1997')",8.6
235,我爱你,美国,"('杰克·尼科尔森 Jack Nicholson / 摩根...<br>\n                            2007', '1999')",8.6
236,国王的演讲,美国,"('任素汐 Suxi Ren / 大力 Da Li ...<br>\n                            2016', '2013')",9.1
237,非常嫌疑犯,美国,"('陆运坤 / 李桂贤<br>\n                            2017', '2016')",8.6
238,卡萨布兰卡,中国大陆,"('汤姆·汉克斯 Tom Hanks / ...<br>\n                            2000', '250')",8.3
